Gcar,Date,Team,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
883,10/24/23,GSW,PHX,"L, 104-108",*,30:45:00,8,20,0.4,4,14,0.286,4,6,0.667,0.5,7,7,1,1,4,5,1,1,0,2,5,27,15.8,-9
884,10/27/23,GSW,SAC,"W, 122-114",*,34:50:00,14,19,0.737,7,10,0.7,7,9,0.778,0.921,6,6,1,1,3,4,4,2,0,4,0,41,35.7,10
885,10/29/23,GSW,HOU,"W, 106-95",*,31:25:00,6,16,0.375,6,14,0.429,0,2,0,0.563,6,6,1,1,6,7,6,0,1,1,1,24,21.2,-2
886,10/30/23,GSW,NOP,"W, 130-102",*,30:02:00,15,22,0.682,7,13,0.538,8,9,0.889,0.841,5,7,0.714,0,5,5,5,2,0,3,1,42,35.4,13
887,11/1/23,GSW,SAC,"W, 102-101",*,32:20:00,7,15,0.467,4,10,0.4,3,5,0.6,0.6,3,3,1,1,4,5,3,0,0,7,3,21,9.1,-6
888,11/3/23,GSW,OKC,"W, 141-139",*,31:23:00,9,15,0.6,5,10,0.5,4,5,0.8,0.767,7,7,1,3,5,8,7,2,0,3,1,30,30.2,5
889,11/5/23,GSW,CLE,"L, 104-115",*,30:49:00,8,16,0.5,7,11,0.636,1,5,0.2,0.719,5,6,0.833,0,2,2,4,1,0,6,0,28,18,-6
890,11/6/23,GSW,DET,"W, 120-109",*,32:37:00,12,26,0.462,7,17,0.412,5,9,0.556,0.596,3,4,0.75,0,2,2,4,0,0,3,1,34,20.2,17
891,11/8/23,GSW,DEN,"L, 105-108",*,34:28:00,6,17,0.353,6,13,0.462,0,4,0,0.529,5,5,1,1,4,5,4,1,0,3,2,23,15.4,-10
892,11/11/23,GSW,CLE,"L, 110-118",*,32:33:00,9,24,0.375,4,14,0.286,5,10,0.5,0.458,8,8,1,1,2,3,2,1,1,4,1,30,16.8,-8
893,11/12/23,GSW,MIN,"L, 110-116",*,36:07:00,11,25,0.44,5,13,0.385,6,12,0.5,0.54,11,12,0.917,1,4,5,3,1,0,5,2,38,23.7,-4
893-1,11/14/23,GSW,MIN,"L, 101-104",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
893-2,11/16/23,GSW,OKC,"L, 109-128",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
894,11/18/23,GSW,OKC,"L, 123-130 (OT)",*,40:16:00,8,21,0.381,5,11,0.455,3,10,0.3,0.5,4,4,1,0,7,7,3,0,0,2,2,25,14.9,0
895,11/20/23,GSW,HOU,"W, 121-116",*,34:47:00,8,14,0.571,5,9,0.556,3,5,0.6,0.75,11,12,0.917,0,5,5,1,0,0,4,2,32,22.4,-3
896,11/22/23,GSW,PHX,"L, 115-123",*,27:42:00,6,15,0.4,1,8,0.125,5,7,0.714,0.433,3,3,1,0,3,3,6,0,0,2,2,16,10.2,-17
897,11/24/23,GSW,SAS,"W, 118-112",*,34:49:00,11,20,0.55,7,14,0.5,4,6,0.667,0.725,6,6,1,0,3,3,6,1,0,6,2,35,24.7,4
898,11/28/23,GSW,SAC,"L, 123-124",*,37:03:00,8,20,0.4,4,12,0.333,4,8,0.5,0.5,9,9,1,3,7,10,6,0,1,5,5,29,20.3,7
899,11/30/23,GSW,LAC,"W, 120-114",*,33:00:00,8,15,0.533,3,9,0.333,5,6,0.833,0.633,7,9,0.778,0,7,7,8,1,1,2,2,26,24.5,-4
900,12/2/23,GSW,LAC,"L, 112-113",*,36:36:00,7,18,0.389,4,9,0.444,3,9,0.333,0.5,4,4,1,1,3,4,11,0,0,2,0,22,19.5,2
901,12/6/23,GSW,POR,"W, 110-106",*,34:28:00,8,18,0.444,5,13,0.385,3,5,0.6,0.583,10,11,0.909,0,5,5,1,0,0,4,2,31,18.6,4
902,12/8/23,GSW,OKC,"L, 136-138 (OT)",*,40:21:00,10,20,0.5,6,12,0.5,4,8,0.5,0.65,8,8,1,0,6,6,3,1,0,3,0,34,25.9,-5
903,12/12/23,GSW,PHX,"L, 116-119",*,32:04:00,8,24,0.333,4,15,0.267,4,9,0.444,0.417,4,4,1,0,5,5,4,3,0,1,2,24,15.9,-15
904,12/14/23,GSW,LAC,"L, 113-121",*,34:02:00,5,17,0.294,3,13,0.231,2,4,0.5,0.382,4,4,1,0,4,4,4,0,0,1,3,17,8.9,-3
905,12/16/23,GSW,BRK,"W, 124-120",*,35:02:00,14,22,0.636,6,8,0.75,8,14,0.571,0.773,3,3,1,0,3,3,1,0,3,3,1,37,27.5,7
906,12/17/23,GSW,POR,"W, 118-114",*,31:14:00,2,12,0.167,0,8,0,2,4,0.5,0.167,3,4,0.75,0,2,2,8,1,1,4,1,7,2.5,14
907,12/19/23,GSW,BOS,"W, 132-126 (OT)",*,38:18:00,11,21,0.524,6,11,0.545,5,10,0.5,0.667,5,5,1,0,3,3,6,0,0,4,5,33,21.8,8
908,12/22/23,GSW,WAS,"W, 129-118",*,26:54:00,9,18,0.5,8,13,0.615,1,5,0.2,0.722,4,5,0.8,0,4,4,7,0,1,2,0,30,25.4,-1
909,12/23/23,GSW,POR,"W, 126-106",*,30:18:00,11,18,0.611,2,7,0.286,9,11,0.818,0.667,3,3,1,0,3,3,2,0,0,1,1,27,19.7,4
910,12/25/23,GSW,DEN,"L, 114-120",*,34:20:00,7,21,0.333,3,13,0.231,4,8,0.5,0.405,1,1,1,1,1,2,4,1,1,3,4,18,7,-26
911,12/28/23,GSW,MIA,"L, 102-114",*,31:42:00,3,15,0.2,2,8,0.25,1,7,0.143,0.267,5,6,0.833,0,4,4,5,2,1,1,1,13,9.3,-14
912,12/30/23,GSW,DAL,"L, 122-132",*,34:30:00,9,25,0.36,6,15,0.4,3,10,0.3,0.48,1,1,1,0,2,2,7,1,0,3,3,25,13.4,-6
913,1/2/24,GSW,ORL,"W, 121-115",*,35:14:00,12,20,0.6,4,9,0.444,8,11,0.727,0.7,8,11,0.727,1,1,2,6,4,1,2,4,36,31.9,12
914,1/4/24,GSW,DEN,"L, 127-130",*,34:35:00,11,23,0.478,5,12,0.417,6,11,0.545,0.587,3,3,1,0,4,4,6,1,1,2,1,30,23,-1
915,1/5/24,GSW,DET,"W, 113-109",*,30:56:00,7,19,0.368,4,12,0.333,3,7,0.429,0.474,8,9,0.889,0,6,6,4,1,1,4,0,26,17.4,0
916,1/7/24,GSW,TOR,"L, 118-133",*,29:51:00,2,14,0.143,0,9,0,2,5,0.4,0.143,5,5,1,0,1,1,6,0,0,2,3,9,1.3,-17
917,1/10/24,GSW,NOP,"L, 105-141",*,25:11:00,4,13,0.308,3,8,0.375,1,5,0.2,0.423,4,4,1,0,1,1,6,1,0,3,0,15,10,-4
